step,actic loss,critic loss,average distance,time
10,-24021.3272,768646.8920,868.8499,0min16sec
20,-23753.7892,765701.9464,868.6925,0min12sec
30,-23356.0411,754832.6815,868.2592,0min12sec
40,-23114.1009,738669.2729,869.2500,0min12sec
50,-22770.8710,712596.4975,868.7929,0min12sec
60,-22273.5750,680666.5943,869.2811,0min12sec
70,-21574.5651,641561.1994,869.5343,0min13sec
80,-20657.3671,596178.8547,869.2155,0min13sec
90,-19528.5730,547771.2738,869.2107,0min18sec
100,-18154.7782,499387.3371,869.0741,0min25sec
110,-16530.7291,455953.2042,867.8978,0min26sec
120,-15049.3367,419719.3121,860.7707,0min25sec
130,-13906.5715,388505.2835,847.3742,0min25sec
